SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1999 Edmund Randolph Ct,Jacksonville,FL,32221,374990,4,2.5,LIBERTY SQUARE SOUTH,1973,,2021,5,190,45,Pending,,,https://www.redfin.com/FL/Jacksonville/1999-Edmund-Randolph-Ct-32221/home/178493063,NEFLMLS,1175122,N,Y,30.282108,-81.855415
MLS Listing,,Single Family Residential,1096 Willow Branch Ave,Jacksonville,FL,32205,380000,3,1.0,Ingleside Park,1343,,1939,17,283,,Contingent,,,https://www.redfin.com/FL/Jacksonville/1096-Willow-Branch-Ave-32205/home/72737073,NEFLMLS,1174215,N,Y,30.3099892,-81.7034414
MLS Listing,,Townhouse,6031 Bartram Village Dr,Jacksonville,FL,32258,350000,3,2.0,Villages Of Bartram,1846,,2011,15,190,117,Active,,,https://www.redfin.com/FL/Jacksonville/6031-Bartram-Village-Dr-32258/home/108812541,NEFLMLS,1173136,N,Y,30.105038,-81.503119
PAST SALE,November-3-1994,Single Family Residential,6805 Crane Ave,Jacksonville,FL,32216,200000,2,1.0,Silversmith,1136,,1949,23,176,,Pending,,,https://www.redfin.com/FL/Jacksonville/6805-Crane-Ave-32216/home/72762108,NEFLMLS,1171620,N,Y,30.3079173,-81.5884096
MLS Listing,,Single Family Residential,8313 Chason Rd East,Jacksonville,FL,32244,419000,4,3.0,Argyle/Chimney Lakes,2192,,1985,1,191,,Active,,,https://www.redfin.com/FL/Jacksonville/8313-Chason-Rd-E-32244/home/108879405,NEFLMLS,1177633,N,Y,30.1960151,-81.7882284
MLS Listing,,Townhouse,13075 Mandarin Point Ln,Jacksonville,FL,32223,449999,3,2.0,Mandarin Point,1681,,1978,1,268,,Active,,,https://www.redfin.com/FL/Jacksonville/13075-Mandarin-Point-Ln-32223/home/108851996,NEFLMLS,1177617,N,Y,30.1517239,-81.6673064
MLS Listing,,Vacant Land,0 Sedgwick Pl,Jacksonville,FL,32217,385000,,,Sedgwick Place,,,,1,,,Active,,,https://www.redfin.com/FL/JACKSONVILLE/SEDGWICK-PL-32217/home/62429996,NEFLMLS,1177604,N,Y,30.233616,-81.622229
MLS Listing,,Multi-Family (2-4 Unit),353 West 11th St,Jacksonville,FL,32206,499000,4,4.0,Springfield,3468,,1939,1,144,,Active,,,https://www.redfin.com/FL/Jacksonville/353-W-11th-St-32206/home/108790488,NEFLMLS,1177599,N,Y,30.3502134,-81.6597115
MLS Listing,,Single Family Residential,10292 Stonington Way,Jacksonville,FL,32221,225000,3,2.0,Brookshire,1828,,1990,1,123,10,Active,,,https://www.redfin.com/FL/Jacksonville/10292-Stonington-Way-32221/home/72814705,NEFLMLS,1177593,N,Y,30.2978407,-81.8277944
MLS Listing,,Single Family Residential,7142 Oakney Rd,Jacksonville,FL,32211,100000,3,2.0,Meadowbrook,1188,,1955,1,84,,Active,,,https://www.redfin.com/FL/Jacksonville/7142-Oakney-Rd-32211/home/72763125,NEFLMLS,1177592,N,Y,30.3417979,-81.5826271
MLS Listing,,Single Family Residential,6147 Temple Rd,Jacksonville,FL,32217,270000,2,1.0,Lakewood,1107,,1950,1,244,,Active,,,https://www.redfin.com/FL/Jacksonville/6147-Temple-Rd-32217/home/62446846,NEFLMLS,1176632,N,Y,30.2589882,-81.6347069
MLS Listing,,Single Family Residential,8508 Long Meadow Ct,Jacksonville,FL,32244,445000,4,2.5,Willow Greene,2224,,1989,1,200,,Active,,,https://www.redfin.com/FL/Jacksonville/8508-Long-Meadow-Ct-32244/home/72821986,NEFLMLS,1175465,N,Y,30.1936028,-81.7559065
MLS Listing,,Single Family Residential,5871 Ridgeway Rd East,Jacksonville,FL,32244,259900,3,2.0,Oak Hill Manor,1238,,1964,1,210,,Active,,,https://www.redfin.com/FL/Jacksonville/5871-Ridgeway-Rd-E-32244/home/62417292,NEFLMLS,1177587,N,Y,30.2421863,-81.7691339
MLS Listing,,Single Family Residential,4725 Roanoke Blvd,Jacksonville,FL,32208,149500,3,2.0,Sherwood Forest,1296,,1972,1,115,,Active,,,https://www.redfin.com/FL/Jacksonville/4725-Roanoke-Blvd-32208/home/58743222,NEFLMLS,1177585,N,Y,30.410426,-81.7223946
MLS Listing,,Single Family Residential,1550 Royal County Dr,Jacksonville,FL,32221,500000,4,2.0,Panther Creek,2192,,2003,1,228,25,Active,,,https://www.redfin.com/FL/Jacksonville/1550-Royal-County-Dr-32221/home/108806380,NEFLMLS,1177584,N,Y,30.2910457,-81.852979
MLS Listing,,Condo/Co-op,3620 Kirkpatrick Cir #9,Jacksonville,FL,32210,155000,3,2.0,Willow Ridge,1157,,2006,1,134,285,Active,,,https://www.redfin.com/FL/Jacksonville/3620-Kirkpatrick-Cir-32210/unit-9/home/62476411,NEFLMLS,1177583,N,Y,30.2682962,-81.7704029
MLS Listing,,Single Family Residential,4195 Cedar Point Rd,Jacksonville,FL,32226,114000,3,1.0,Oceanway,672,,1968,1,170,,Active,,,https://www.redfin.com/FL/Jacksonville/4195-Cedar-Point-Rd-32226/home/108862008,NEFLMLS,1177576,N,Y,30.465175,-81.5499619
MLS Listing,,Single Family Residential,1757 West 29th St,Jacksonville,FL,32209,50000,2,1.0,Royal Terrace,640,,1955,1,78,,Active,,,https://www.redfin.com/FL/Jacksonville/1757-W-29th-St-32209/home/72742180,NEFLMLS,1177572,N,Y,30.3622563,-81.6862155
MLS Listing,,Condo/Co-op,8550 Touchton Rd #2017,Jacksonville,FL,32216,259900,2,2.0,Montreux,1195,,2005,1,217,312,Active,,,https://www.redfin.com/FL/Jacksonville/8550-Touchton-Rd-32216/unit-2017/home/108866013,NEFLMLS,1177571,N,Y,30.2688608,-81.5636346
MLS Listing,,Single Family Residential,5336 Cruz Rd,Jacksonville,FL,32207,280000,4,2.0,Spring Glen,1536,,1926,1,182,,Active,,,https://www.redfin.com/FL/Jacksonville/5336-Cruz-Rd-32207/home/62463524,NEFLMLS,1177566,N,Y,30.2914707,-81.6101648
MLS Listing,,Townhouse,9939 Filament Blvd,Jacksonville,FL,32256,566990,4,3.0,EDISON EAST VILLAS,2479,,2022,1,229,158,Active,,,https://www.redfin.com/FL/Jacksonville/9939-Filament-Blvd-32256/home/180139196,NEFLMLS,1177565,N,Y,30.197347,-81.4980762
MLS Listing,,Single Family Residential,11205 Turnbridge Dr,Jacksonville,FL,32256,849999,5,3.5,James Island,3149,,2000,1,270,142,Active,,,https://www.redfin.com/FL/Jacksonville/11205-Turnbridge-Dr-32256/home/58730219,NEFLMLS,1177563,N,Y,30.2391214,-81.5254636
MLS Listing,,Townhouse,11083 Wandering Oaks Dr,JACKSONVILLE,FL,32257,273000,3,2.0,SOUTHERN VILLAS,1645,4180,1985,1,166,175,Active,,,https://www.redfin.com/FL/Jacksonville/11083-Wandering-Oaks-Dr-32257/home/72773988,Stellar MLS,O6037070,N,Y,30.1726797,-81.5965471
MLS Listing,,Single Family Residential,4454 Swilcan Bridge Ln North,Jacksonville,FL,32224,1900000,5,4.0,Glen Kernan,4310,,2001,1,441,483,Active,,,https://www.redfin.com/FL/Jacksonville/4454-Swilcan-Bridge-Ln-N-32224/home/102944576,NEFLMLS,1177558,N,Y,30.2649086,-81.4796672
MLS Listing,,Single Family Residential,12561 Bent Bay Trl,Jacksonville,FL,32224,475000,4,2.0,Ashton Hills,1855,,1997,1,256,18,Active,,,https://www.redfin.com/FL/Jacksonville/12561-Bent-Bay-Trl-32224/home/108864666,NEFLMLS,1177557,N,Y,30.2755385,-81.4921267
MLS Listing,,Townhouse,10335 Bigtree Ter,Jacksonville,FL,32257,315000,3,2.5,Townhomes Of Bigtree,1725,,1985,1,183,268,Active,,,https://www.redfin.com/FL/Jacksonville/10335-Big-Tree-Ter-32257/home/72773666,NEFLMLS,1177556,N,Y,30.190189,-81.62349
MLS Listing,,Condo/Co-op,10200 Belle Rive Blvd #21,Jacksonville,FL,32256,195000,1,1.0,The Landings At Belle Rive,770,,1985,1,253,191,Active,,,https://www.redfin.com/FL/Jacksonville/10200-Belle-Rive-Blvd-32256/unit-21/home/62468694,NEFLMLS,1177445,N,Y,30.2072804,-81.5436483
MLS Listing,,Single Family Residential,6910 Cartier Cir,Jacksonville,FL,32208,235000,3,1.5,Ribault Manor,1860,,1959,1,126,,Active,,,https://www.redfin.com/FL/Jacksonville/6910-Cartier-Cir-32208/home/72827404,NEFLMLS,1177549,N,Y,30.3942761,-81.7060179
MLS Listing,,Condo/Co-op,10200 Belle Rive Blvd #205,Jacksonville,FL,32256,199000,2,2.0,The Landings At Belle Rive,970,,1985,1,205,241,Active,,,https://www.redfin.com/FL/Jacksonville/10200-Belle-Rive-Blvd-32256/unit-205/home/62471053,NEFLMLS,1177551,N,Y,30.2072804,-81.5436483
MLS Listing,,Single Family Residential,4848 Plymouth St,Jacksonville,FL,32205,279000,3,2.0,Metes & Bounds,1345,,1942,1,207,,Active,,,https://www.redfin.com/FL/Jacksonville/4848-Plymouth-St-32205/home/81564535,NEFLMLS,1177545,N,Y,30.3029052,-81.7298335
MLS Listing,,Condo/Co-op,14402 Marina San Pablo Pl #202,Jacksonville,FL,32224,649000,2,2.5,Marina San Pablo,1727,,2006,1,376,1117,Active,,,https://www.redfin.com/FL/Jacksonville/14402-Marina-San-Pablo-Pl-32224/unit-202/home/62472296,NEFLMLS,1177543,N,Y,30.256453,-81.43183
MLS Listing,,Townhouse,15147 Venosa Cir,Jacksonville,FL,32258,415000,3,2.0,Montevilla,1623,,2019,1,256,285,Contingent,,,https://www.redfin.com/FL/Jacksonville/15147-Venosa-Cir-32258/home/166918546,NEFLMLS,1177541,N,Y,30.1091455,-81.5168125
MLS Listing,,Single Family Residential,2512 Ligustrum Rd,Jacksonville,FL,32211,327000,4,2.0,Arlington Hills,1752,,1955,1,187,,Active,,,https://www.redfin.com/FL/Jacksonville/2512-Ligustrum-Rd-32211/home/108859512,NEFLMLS,1177540,N,Y,30.3490987,-81.5876814
MLS Listing,,Mobile/Manufactured Home,345 Manson Ln,Jacksonville,FL,32220,150000,3,2.0,Warrington,1917,,1999,1,78,,Active,,,https://www.redfin.com/FL/Jacksonville/345-Manson-Ln-32220/home/108835862,NEFLMLS,1177531,N,Y,30.323692,-81.8019604
MLS Listing,,Single Family Residential,1109 Creeks Ridge Rd,Jacksonville,FL,32225,349900,3,2.0,Brookwood Forest,1264,,2000,1,277,13,Active,,,https://www.redfin.com/FL/Jacksonville/1109-Creeks-Ridge-Rd-32225/home/108462606,NEFLMLS,1177528,N,Y,30.3388119,-81.5295788
MLS Listing,,Condo/Co-op,1307 River Hills Cir East #9,Jacksonville,FL,32211,299900,0,2.5,River Hills Condo,1590,,1986,1,189,375,Active,,,https://www.redfin.com/FL/Jacksonville/1307-River-Hills-Cir-E-32211/unit-9/home/58759100,NEFLMLS,1177526,N,Y,30.3140093,-81.5962163
MLS Listing,,Multi-Family (2-4 Unit),1605 West 23rd St,Jacksonville,FL,32209,195900,6,2.0,Moncrief Park,1824,,1966,1,107,,Active,,,https://www.redfin.com/FL/Jacksonville/1605-W-23rd-St-32209/home/108791685,NEFLMLS,1177525,N,Y,30.358228,-81.683105
